query_id,scenario,query,retrieved_candidate_ids,retrieved_metadata,prompt,response,groundedness_score,metadata_consistency_score,limitation_awareness_score,explanation_quality_score,hallucination_flags,human_review_status
Q001,co2_adsorption,Recommend MOFs that may be suitable for CO2 adsorption based on available QMOF metadata.,qmof-82fb334|qmof-ba8d316|qmof-54f7ee7|qmof-ec84fcf|qmof-330a403,"qmof-82fb334 (Co2C22H16N4O10, band_gap=2.753622, density=1.772529929); qmof-ba8d316 (Co2C32H24O12, band_gap=1.250046, density=1.746231048); qmof-54f7ee7 (Co2K2C48H44N4O6, band_gap=1.505111, density=1.497174385); qmof-ec84fcf (Co2C20H16N28, band_gap=2.596155, density=1.767424228); qmof-330a403 (Co2C58F12H32N8O8S2, band_gap=2.471348, density=1.414912408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-82fb334, qmof-ba8d316, qmof-54f7ee7, qmof-ec84fcf, qmof-330a403. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q002,co2_adsorption,"Find stable porous MOF candidates for CO2 capture, but do not assume validated CO2 uptake.",qmof-82fb334|qmof-ba8d316|qmof-54f7ee7|qmof-ec84fcf|qmof-330a403,"qmof-82fb334 (Co2C22H16N4O10, band_gap=2.753622, density=1.772529929); qmof-ba8d316 (Co2C32H24O12, band_gap=1.250046, density=1.746231048); qmof-54f7ee7 (Co2K2C48H44N4O6, band_gap=1.505111, density=1.497174385); qmof-ec84fcf (Co2C20H16N28, band_gap=2.596155, density=1.767424228); qmof-330a403 (Co2C58F12H32N8O8S2, band_gap=2.471348, density=1.414912408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-82fb334, qmof-ba8d316, qmof-54f7ee7, qmof-ec84fcf, qmof-330a403. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q003,co2_adsorption,Which QMOF candidates are promising for CO2 adsorption from a metadata-based screening perspective?,qmof-82fb334|qmof-ba8d316|qmof-54f7ee7|qmof-ec84fcf|qmof-330a403,"qmof-82fb334 (Co2C22H16N4O10, band_gap=2.753622, density=1.772529929); qmof-ba8d316 (Co2C32H24O12, band_gap=1.250046, density=1.746231048); qmof-54f7ee7 (Co2K2C48H44N4O6, band_gap=1.505111, density=1.497174385); qmof-ec84fcf (Co2C20H16N28, band_gap=2.596155, density=1.767424228); qmof-330a403 (Co2C58F12H32N8O8S2, band_gap=2.471348, density=1.414912408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-82fb334, qmof-ba8d316, qmof-54f7ee7, qmof-ec84fcf, qmof-330a403. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q004,co2_adsorption,Suggest MOFs for carbon dioxide capture and explain limitations if adsorption data is missing.,qmof-82fb334|qmof-ba8d316|qmof-54f7ee7|qmof-ec84fcf|qmof-330a403,"qmof-82fb334 (Co2C22H16N4O10, band_gap=2.753622, density=1.772529929); qmof-ba8d316 (Co2C32H24O12, band_gap=1.250046, density=1.746231048); qmof-54f7ee7 (Co2K2C48H44N4O6, band_gap=1.505111, density=1.497174385); qmof-ec84fcf (Co2C20H16N28, band_gap=2.596155, density=1.767424228); qmof-330a403 (Co2C58F12H32N8O8S2, band_gap=2.471348, density=1.414912408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-82fb334, qmof-ba8d316, qmof-54f7ee7, qmof-ec84fcf, qmof-330a403. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q005,co2_adsorption,"Recommend MOFs for CO2 separation using density, band gap, and available structural metadata only.",qmof-82fb334|qmof-ba8d316|qmof-54f7ee7|qmof-ec84fcf|qmof-330a403,"qmof-82fb334 (Co2C22H16N4O10, band_gap=2.753622, density=1.772529929); qmof-ba8d316 (Co2C32H24O12, band_gap=1.250046, density=1.746231048); qmof-54f7ee7 (Co2K2C48H44N4O6, band_gap=1.505111, density=1.497174385); qmof-ec84fcf (Co2C20H16N28, band_gap=2.596155, density=1.767424228); qmof-330a403 (Co2C58F12H32N8O8S2, band_gap=2.471348, density=1.414912408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-82fb334, qmof-ba8d316, qmof-54f7ee7, qmof-ec84fcf, qmof-330a403. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q006,photocatalysis,Recommend MOFs that may be useful for photocatalysis based on band gap and metadata.,qmof-13a76dd|qmof-ac6a77a|qmof-c0f392b|qmof-e566fbb|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-e566fbb (Zn2C36H22N6O8, band_gap=2.93315, density=0.83426434); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-c0f392b, qmof-e566fbb, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q007,photocatalysis,Find QMOF candidates with electronic properties suitable for photocatalytic applications.,qmof-13a76dd|qmof-ac6a77a|qmof-c0f392b|qmof-e566fbb|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-e566fbb (Zn2C36H22N6O8, band_gap=2.93315, density=0.83426434); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-c0f392b, qmof-e566fbb, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q008,photocatalysis,Suggest MOFs for light-driven catalytic processes and explain the role of band gap.,qmof-13a76dd|qmof-ac6a77a|qmof-c0f392b|qmof-e566fbb|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-e566fbb (Zn2C36H22N6O8, band_gap=2.93315, density=0.83426434); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-c0f392b, qmof-e566fbb, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q009,photocatalysis,Recommend photocatalytic MOF candidates while clearly stating missing validation data.,qmof-13a76dd|qmof-ac6a77a|qmof-c0f392b|qmof-e566fbb|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-e566fbb (Zn2C36H22N6O8, band_gap=2.93315, density=0.83426434); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-c0f392b, qmof-e566fbb, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q010,photocatalysis,Which MOFs may be promising for visible-light photocatalysis according to QMOF metadata?,qmof-13a76dd|qmof-ac6a77a|qmof-c0f392b|qmof-e566fbb|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-e566fbb (Zn2C36H22N6O8, band_gap=2.93315, density=0.83426434); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-c0f392b, qmof-e566fbb, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
