query,query_id,seed,candidate_rank,qmof_id,semantic_score,available_descriptors,availability_mask
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,1,qmof-ac6a77a,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,2,qmof-e566fbb,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,3,qmof-cef46c3,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,4,qmof-c0f392b,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,5,qmof-235f291,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,6,qmof-a1a5849,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,7,qmof-13a76dd,0.728571,semantic;band_gap;density;stability,1|1|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,8,qmof-dfceca3,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,9,qmof-b5c7314,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,10,qmof-c5f3d0d,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,11,qmof-972dddd,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,12,qmof-fa0f884,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,13,qmof-6fabf2c,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,14,qmof-8755d63,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,15,qmof-c6f6604,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,16,qmof-93941e0,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,17,qmof-131c306,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,18,qmof-16edcac,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,19,qmof-5bdf40a,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,20,qmof-361ef97,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,21,qmof-e890bc7,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,22,qmof-cc941c8,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,23,qmof-e7b4875,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,24,qmof-ab8d1a0,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,25,qmof-555ceef,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,26,qmof-847d3d6,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,27,qmof-925a580,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,28,qmof-cfc7cec,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,29,qmof-0bbe221,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,30,qmof-ce2ef43,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,31,qmof-87276cb,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,32,qmof-2846d73,0.728571,semantic;density;stability,1|0|1|1
lightweight gas storage MOFs with low density,q3_lightweight_storage,44,33,qmof-3ecaab7,0.728571,semantic;density;stability,1|0|1|1
