Comment ID,Reviewer concern,Code change,New experiment,Manuscript location,SI location,Status,Evidence
C1,Missing descriptors should not be interpreted as zero,"objective_utils.py, feature_extractor.py, hybrid_ranker.py, lea_optimizer.py, material_similarity.py, novelty_ranker.py","Focused tests added","Problem Formulation; Experimental Setup","Descriptor Availability and Masking","completed","pytest missing-data tests passed"
C2,Retrieval missingness should be separate from reranking missingness,"build_vector_index.py serializes unavailable fields explicitly","Audit only","Related Work / Retrieval-Augmented Systems","Retrieval Versus Reranking Missingness","completed with clarification","retrieval uses SentenceTransformer text embeddings; benchmark uses deterministic proxy"
C3,Void fraction should be excluded from active numerical objectives,"dynamic_weight_engine.py, hybrid_ranker.py, LEA optimizer, frontend analytics updated","Radar figure regenerated","Abstract; Problem Formulation; Results","Descriptor Availability and Masking; Figure S3","completed","void_fraction coverage 0/20372; porosity excluded"
C4,LEA no diversity equals WeightedSum values,"No code change to historical artifacts; metric identity checked from saved CSV","lea_no_diversity_metric_identity.csv","Ablation narrative","Metric-level check table","completed with clarification","50/50 rows same Rel@5 and diversity; IDs unavailable"
C5,Five queries x ten seeds are dependent,"No code change","query_stratified_seed_results.csv; variance_decomposition.csv","Statistical Analysis; Robustness Scope","Query-stratified and variance tables","completed","between-query variance dominates within-query seed variance"
C6,Candidate-pool-size trade-off should be shown,"No code change","candidate_pool_size_summary.csv","Experimental Setup; Ablation discussion","Candidate-pool-size table","completed with clarification","saved artifacts contain pool sizes 50, 100, 200"
C7,Table 4 and Table 7 LEA values differ,"No code change","Protocol audit","Ablation narrative and captions","Repeated-seed scope","completed with clarification","Table 4 is single-run; Table 7 is repeated-seed ablation protocol"
C8,Bayesian optimization categorization,"No code change","None","Related Work; Future Work","Not applicable","completed","Bayesian optimization described as model-based sequential optimization"
C9,Figure S3 integrated comparison requested,"No code change","figure_s3_all_vs_selected_active_descriptors.png","Experimental Setup mentions SI","All Records Versus Selected Top-K Active Descriptors","completed","active descriptor means plotted; porosity excluded"
C10,Table readability,"No code change","None","Table 4 and Table 7 captions and emphasis","New SI tables use booktabs","completed","best/second-best guidance added"
C11,Recommender terminology consistency,"No code change","None","Abstract; Related Work; Metrics; Discussion","Not applicable","completed","uses query-driven hybrid scientific recommender with strong content-based focus"
C12,Abbreviations,"No code change","None","Abstract; Architecture; Related Work; Metrics","Not applicable","completed with clarification","major abbreviations expanded at first use"
C13,Seko and Qu references,"No code change","None","Related Work; Bibliography","Not applicable","completed","references added"
C14,KadiAssistant reference,"No code change","None","Retrieval-Augmented Systems; Bibliography","Not applicable","completed","author/title metadata corrected"
C15,AI-writing style and AI disclosure,"No code change","None","Related Work; Architecture; Declarations","Not applicable","completed","instruction-like prose reduced; AI-use statement retained"
C16,Repository accessibility and reproducibility,"README updated","Focused tests/build commands recorded","Code Availability","Reproducibility details","partially completed","push/clean clone blocked by missing GitHub credentials in environment"
