component,source_file,function_or_class,current_behavior,mask_aware,used_in_final_rerun,test_file,notes
candidate generation,scripts/run_final_mask_aware_protocol.py,candidate_pool,deterministic semantic proxy over metadata; identical pool reused across methods,True,True,,live FAISS retrieval audited separately
live retrieval,backend/scripts/build_vector_index.py; backend/app/rag/vector_store.py,build_vector_database/retrieve,SentenceTransformer metadata text embeddings in FAISS L2 index; unavailable fields serialized as unavailable/None,True,False,,offline rerun uses deterministic proxy for reproducibility
availability masks,backend/app/recommendation/hybrid_ranker.py,HybridRanker.compute_score,band_gap/density/stability availability recorded; void_fraction warning only,True,True,backend/tests/test_missing_data_masks.py,
weighted relevance,backend/app/recommendation/objective_utils.py,masked_weighted_sum,weights renormalized over observed dimensions,True,True,backend/tests/test_missing_data_masks.py,
balance,backend/app/recommendation/objective_utils.py,masked_balance_score,observed-objective evenness only,True,True,backend/tests/test_missing_data_masks.py,
masked pairwise distance,backend/app/recommendation/objective_utils.py,masked_distance,Euclidean RMS over jointly observed dimensions; no-overlap fallback 0.0,True,True,backend/tests/test_missing_data_masks.py,
masked cosine similarity,backend/app/recommendation/objective_utils.py,masked_cosine,cosine over jointly observed dimensions; no-overlap fallback 0.0,True,False,backend/tests/test_missing_data_masks.py,
WeightedSum,scripts/run_final_mask_aware_protocol.py,rank_weighted,sort by masked weighted relevance,True,True,,
TOPSIS,scripts/run_final_mask_aware_protocol.py,rank_topsis,masked closeness to active ideal,True,True,,
ParetoCrowding,scripts/run_final_mask_aware_protocol.py,rank_pareto,joint-observed dominance plus masked crowding,True,True,,
SemanticOnly,scripts/run_final_mask_aware_protocol.py,semantic rank branch,sort by deterministic semantic proxy,True,True,,
Random,scripts/run_final_mask_aware_protocol.py,random branch,seeded shuffle of shared candidate pool,True,True,,
MMR,scripts/run_final_mask_aware_protocol.py,rank_mmr,masked relevance with masked-distance redundancy,True,True,,
LEA baseline,scripts/run_final_mask_aware_protocol.py; backend/app/recommendation/lea_optimizer.py,rank_lea/LotusEffectOptimizer,"LEA-style mutation, masked remapping, relevance, balance, and diversity",True,True,backend/tests/test_missing_data_masks.py,
GraphSAGE-only ranking,scripts/run_final_mask_aware_protocol.py,graph_proxy/rank_weighted,formula-derived metadata graph proxy; no full-record trained embeddings found,True,True,,not CIF-derived atomistic graph learning
GAT-only ranking,scripts/run_final_mask_aware_protocol.py,graph_proxy/rank_weighted,formula-derived metadata graph proxy; GAT file is future-extension stub,True,True,,not CIF-derived atomistic graph learning
ranking metrics,scripts/run_final_mask_aware_protocol.py,metrics_for,"Rel@5, NDCG@5, masked diversity, coverage, runtime, hypervolume proxy",True,True,,
query-level statistics,scripts/run_final_mask_aware_protocol.py,query_stratified/variance_decomposition,query-stratified means and query-block variance reporting,True,True,,
RAG/LLM evaluation,backend/scripts/evaluate_rag_llm_quality.py,evaluate,not rerun by final ranking script; historical result requires separate revalidation if final top-K changes feed RAG,True,False,,recorded honestly in final audit
