claim_or_equation,manuscript_location,code_location,verified_behavior,consistent,action_taken
masked relevance,Section 9 / Eq. relevance,backend/app/recommendation/objective_utils.py::masked_weighted_sum,weights renormalized over observed active objectives,yes,kept
balance,Section 9 / Eq. balance,objective_utils.py::masked_balance_score,"1 - RMS dispersion over observed active objective scores, clipped to [0,1]",yes,kept
objective distance,Section 9 / d_obj,objective_utils.py::masked_distance; runner rank_lea.nearest,masked RMS distance over active objective vector for LEA remapping,yes,equation split from hybrid distance
hybrid distance,Section 9 / d_hybrid,runner vector_for/item_distance,masked RMS distance over scaled hybrid material vector,yes,defined explicitly
LEA fitness,Section 13,runner rank_lea.fitness,alpha*rel + beta*balance + gamma*hybrid diversity - redundancy_penalty*exp(-diversity),yes,causal claim moderated
candidate remapping,Section 13,runner rank_lea.nearest,"nearest valid QMOF by active objective-space distance, not hybrid distance",yes,wording corrected
MMR,Section 14,runner rank_mmr,lambda*relevance - (1-lambda)*max(1-d_hybrid),yes,wording corrected
ParetoCrowding,Section 14,runner rank_pareto,active-objective dominance plus hybrid crowding mean distance,yes,wording corrected
graph-aware diversity,Section 16/Table 7,"runner objective_array(graph), vector_for(hybrid_material)",graph proxy affects graph-aware relevance/remapping; final diversity remains hybrid material distance,yes,wording clarified
Unique@K,Section 15/Table 7,runner metrics_for,fraction of unique IDs in each top-K list,yes,not called catalog coverage
catalog coverage,Supplementary table,runner run_protocol coverage_rows,unique selected catalog IDs divided by 20372,yes,supplementary table cited
explanation evaluation,Section 18/Table 8,runner run_rag_evaluation,deterministic candidate-conditioned explanations; no live OpenAI call,yes,section renamed
unsupported-claim flags,Section 18/Table 8,runner run_rag_evaluation flags,automated flags for unsupported claims and safeguard violations,yes,hallucination wording replaced
