reviewer_issue,response_summary,code_or_manuscript_action,verification
"LEA no diversity and WeightedSum values are identical","Reported as a configuration-specific empirical ablation result rather than a general equivalence claim.","Updated manuscript ablation caption and narrative.","Manuscript compiled successfully."
"50 paired observations may be dominated by five query scenarios","Clarified that 50 rows are five query scenarios times ten seeds, not 50 independent scientific queries.","Updated statistical analysis, robustness scope, and supplementary material.","Manuscript and supplement compiled successfully."
"Missing descriptors should not default to zero","Implemented explicit availability masks and masked scoring/distance utilities.","Added objective_utils, updated feature extraction, similarity, hybrid ranker, LEA optimizer, novelty ranker, and tests.","PYTHONPATH=backend pytest -q backend/tests/test_missing_data_masks.py passed."
"Void fraction absent should be ignored by recommender","Removed porosity/void fraction from active numerical objectives and UI plots.","Updated rankers, dynamic weights, explanations, vector serialization, frontend analytics, manuscript equations, and radar figure.","Focused tests passed; radar figure regenerated without porosity axis."
"Candidate-pool size tradeoff should be framed as sensitivity, not proof","Moved candidate-pool-size framing into supplementary robustness scope.","Updated supplementary material.","Supplement compiled successfully."
"Manuscript is long and algorithm-heavy","Moved reviewer-facing audit/caveat detail into supplement while preserving core algorithm descriptions in main text.","Updated main and supplementary source files.","Both PDFs compiled successfully."
"GitHub repository access","Code availability remains pointed to the public repository URL; local push still requires user GitHub authentication.","Updated repository-side revision docs locally.","Local branch reviewer-arnd-revision exists."
"Bayesian optimization should not be grouped as nature-inspired/evolutionary","Separated Bayesian optimization as model-based sequential optimization.","Updated related work and future work.","Manuscript compiled successfully."
"Dashboard/supplementary figure should be integrated and captions clarified","Supplementary captions now state screenshots are interface evidence and not validation; void fraction is unavailable.","Updated supplementary material.","Supplement compiled successfully."
"Hybrid recommender wording","Changed wording to hybrid scientific recommender with strong content-based focus.","Updated abstract/body/metrics/discussion wording.","Manuscript compiled successfully."
"Add Seko 2018 and Qu 2023 references","Added materials recommender references and comparison text.","Updated related work and bibliography.","Manuscript compiled successfully."
"AI-like writing and AI disclosure","Softened overclaiming phrasing and added generative-AI-use declaration.","Updated related work, positioning, declarations.","Manuscript compiled successfully."
